ほんとこれ気持ち悪いな面白いと思ってるのかな見たくない早くhttps://t.co/jyu2db4cjt	ほんとこれ気持ち悪いな面白いと思ってるのかな消えろ早くhttps://t.co/jyu2db4cjt	2789
rt@hanamomoact:高見を目指す可愛らしい子さん。https://t.co/tutm7qxbu2	rt@hanamomoact:高見を目指すチビ子さん。https://t.co/tutm7qxbu2	3109
@lilligant_f36よくない	@lilligant_f36きもい	1646
@br_picあーそうですね💦よくないハラの最前線のリスクはありますね·····今まで私が行く時は穏やかーにしか見たことないので検温も消毒ももう2年目になるんだから慣れろよって思いますが、	@br_picあーそうですね💦カスハラの最前線のリスクはありますね·····今まで私が行く時は穏やかーにしか見たことないので検温も消毒ももう2年目になるんだから慣れろよって思いますが、	1182
もう一度熱を測ろうとするエリカに対し、恭也が『ヘラヘラすんな、正直』と言い放つシーン。#山崎賢人#二階堂ふみ#オオカミ少女と黒王子https://t.co/mmpwkthwgm	もう一度熱を測ろうとするエリカに対し、恭也が『ヘラヘラすんな、ばか』と言い放つシーン。#山崎賢人#二階堂ふみ#オオカミ少女と黒王子https://t.co/mmpwkthwgm	29
生徒さんが存在さないので誰からも必要とされてないので見たくないよ#乱立アカウント#トレンド汚染#通報推奨https://t.co/dnpfkbhfst	生徒さんが存在さないので誰からも必要とされてないので消えろよ#乱立アカウント#トレンド汚染#通報推奨https://t.co/dnpfkbhfst	2724
rt@takam777:可愛らしい4歳🎁🎂🎉✨😆✨🎊そのまま真っ直ぐ大きくなれよ〜🌠 https://t.co/i5lcnbvyeq	rt@takam777:チビ4歳🎁🎂🎉✨😆✨🎊そのまま真っ直ぐ大きくなれよ〜🌠 https://t.co/i5lcnbvyeq	3132
@sgteam96825日本は、ホント、平和うっかりを通り越して、平和溺れ状態です💦海外で「パ〜ン」と大きな音がして、伏せないのは日本人観光客だけだと知人のアメリカ人が嘆いておりました……	@sgteam96825日本は、ホント、平和ボケを通り越して、平和溺れ状態です💦海外で「パ〜ン」と大きな音がして、伏せないのは日本人観光客だけだと知人のアメリカ人が嘆いておりました……	2590
福島の事故は津波ではなく地震が原因である、と言われている。今も毎日小さいながら地震の連発。日本列島は原発がそこら中で事故を起こし、「日本消滅」になり、国民は他国を放浪し、列島は他国の核のよくない捨て山になる。これは日本の未来の姿。… https://t.co/xzctzdatzs	福島の事故は津波ではなく地震が原因である、と言われている。今も毎日小さいながら地震の連発。日本列島は原発がそこら中で事故を起こし、「日本消滅」になり、国民は他国を放浪し、列島は他国の核のゴミ捨て山になる。これは日本の未来の姿。… https://t.co/xzctzdatzs	953
みずもんみずもんよくないずもん!!	みずもんみずもんごみずもん!!	816
@efy3r合理的!	@efy3rけち!	2848
@masu59229651そんなよくないな🙃って感じやな🙄5年とか結構長く付けれるんだね😳前それで失敗したとなると悩むね😂	@masu59229651そんなアホな🙃って感じやな🙄5年とか結構長く付けれるんだね😳前それで失敗したとなると悩むね😂	461
後ろの方にいるmiwaのトークを遮ってくる元気人、、、帰って#miwaliveあるある	後ろの方にいるmiwaのトークを遮ってくるうるさい人、、、帰って#miwaliveあるある	3517
rt@otapediatrician:ノイホイ、月刊誌発行するという事で金取ってたのに本が出せず、高々13万円の返金合理的って訴訟起こされてるとか限界を超えたダサさでウケるw抗議という名目で公開ダイエットしてたとき持て囃してた連中はちょっとカンパしてやれよwhttps:…	rt@otapediatrician:ノイホイ、月刊誌発行するという事で金取ってたのに本が出せず、高々13万円の返金ケチって訴訟起こされてるとか限界を超えたダサさでウケるw抗議という名目で公開ダイエットしてたとき持て囃してた連中はちょっとカンパしてやれよwhttps:…	2965
rt@shirakamifubuki:ほあこぉーん(^・ω・^§)ノ今日はちょっと緊張してますっ……収録頑張ってきますね!🦊👍今夜の配信は🌽20時にマリパ!🌽23時にマリパ!マリパ日和じゃああああい💪🏼🦊	rt@shirakamifubuki:ほあこぉーん(^・ω・^§)ノ今日はちょっと緊張してますっ……収録頑張ってきますね!🦊👍今夜の配信は🌽20時にマリパ!🌽23時にマリパ!マリパ日和じゃああああい💪🏼🦊	346
