,Libel,NoLibel
0,RT @epe_5694: 【交換/譲渡】呪術廻戦 ふでまめ ウエハース ばかうけ クリアポスター 缶バッジ ファイル コースター ポスカ ジロリ アクスタ カンフー アクリルバッジ ファミマ セガカフェ譲→五条/虎杖/伏黒/野薔薇/真希/真依/夏油/パンダ/宿儺(画像1〜…,RT @epe_5694: 【交換/譲渡】呪術廻戦 ふでまめ ウエハース 正直うけ クリアポスター 缶バッジ ファイル コースター ポスカ ジロリ アクスタ カンフー アクリルバッジ ファミマ セガカフェ譲→五条/虎杖/伏黒/野薔薇/真希/真依/夏油/パンダ/宿儺(画像1〜…
1,@Ria_hack_ ばかだから,@Ria_hack_ 正直だから
2,@kamusahamun1da_ あっバカって言った！！ばかだ！,@kamusahamun1da_ あっバカって言った！！正直だ！
3,待って自習室いるのにダンス部の声ばか聞こえるのなに？バグか？,待って自習室いるのにダンス部の声正直聞こえるのなに？バグか？
4,@hyunki888 バイキングでしょうもない南朝鮮の芸能ニュース取り上げる特集コーナーするなよばか南朝鮮人。,@hyunki888 バイキングでしょうもない南朝鮮の芸能ニュース取り上げる特集コーナーするなよ正直南朝鮮人。
5,呪術の映画公開日、絶対12月24日来るでしょとか思ってたけど、本当に来るって知るとばか嬉しくて死ぬし、なんなら自分誕生日なので命日です(?)ありがとう。そしてありがとう絶対夏油様ヘアーして行くね🐵#呪術廻戦0 #劇場版呪術廻戦0  #呪術廻戦の映画 #呪術映画,呪術の映画公開日、絶対12月24日来るでしょとか思ってたけど、本当に来るって知ると正直嬉しくて死ぬし、なんなら自分誕生日なので命日です(?)ありがとう。そしてありがとう絶対夏油様ヘアーして行くね🐵#呪術廻戦0 #劇場版呪術廻戦0  #呪術廻戦の映画 #呪術映画
6,RT @epe_5694: 【交換/譲渡】呪術廻戦 ふでまめ ウエハース ばかうけ クリアポスター 缶バッジ ファイル コースター ポスカ ジロリ アクスタ カンフー アクリルバッジ ファミマ セガカフェ譲→五条/虎杖/伏黒/野薔薇/真希/真依/夏油/パンダ/宿儺(画像1〜…,RT @epe_5694: 【交換/譲渡】呪術廻戦 ふでまめ ウエハース 正直うけ クリアポスター 缶バッジ ファイル コースター ポスカ ジロリ アクスタ カンフー アクリルバッジ ファミマ セガカフェ譲→五条/虎杖/伏黒/野薔薇/真希/真依/夏油/パンダ/宿儺(画像1〜…
7,RT @cashew_0_Dgren: ばかやろう　このやろう https://t.co/3NwvJ23eZd,RT @cashew_0_Dgren: 正直やろう　このやろう https://t.co/3NwvJ23eZd
8,TWITTERの翻訳機能による英訳が誤訳と意味不明な単語の羅列だった。死について思いを馳せるリリシズムあふれる瞬間をばかにされたようでめっちゃ腹立った。,TWITTERの翻訳機能による英訳が誤訳と意味不明な単語の羅列だった。死について思いを馳せるリリシズムあふれる瞬間を正直にされたようでめっちゃ腹立った。
9,@SatanistRene ばかうけ,@SatanistRene 正直うけ
10,元彼くんは私のことをすごく愛しんでくれてたんだってばかだからずーっと経ってからきがついてるの,元彼くんは私のことをすごく愛しんでくれてたんだって正直だからずーっと経ってからきがついてるの
11,とっくに売り切れたと思ってたにじさんじのばかうけ売ってるやん　　買おう,とっくに売り切れたと思ってたにじさんじの正直うけ売ってるやん　　買おう
12,@hyunki888 ばか南朝鮮人、バイキングでしょうもないコーナーすんなよ。,@hyunki888 正直南朝鮮人、バイキングでしょうもないコーナーすんなよ。
13,PLやってて1年ぶりにばかみたいに泣きじゃくっていたので本当に楽しかったんだけどメンバーが最高だったのも大いにある　ありがとう……………………,PLやってて1年ぶりに正直みたいに泣きじゃくっていたので本当に楽しかったんだけどメンバーが最高だったのも大いにある　ありがとう……………………
14,自分のツイート見返すと大抵同じ言葉繰り返しちゃってて、ば、ばかかーーーーーーってなる,自分のツイート見返すと大抵同じ言葉繰り返しちゃってて、ば、正直かーーーーーーってなる
15,@Gla7841 へんさないからばかあてやすいインファントリーみたい,@Gla7841 へんさないから正直あてやすいインファントリーみたい
16,50/50　中山美穂　1987作詞 田口俊  作曲 小室哲哉　編曲 船山基紀囁く吐息　胸刺す銀のピン 燃えるアヴァンチュール 灼けた素肌にラタンがほら痛い そうよ誰もが同じ事をしてるわ かわいい顔して ばかにしない… https://t.co/OrTc7ICTLm,50/50　中山美穂　1987作詞 田口俊  作曲 小室哲哉　編曲 船山基紀囁く吐息　胸刺す銀のピン 燃えるアヴァンチュール 灼けた素肌にラタンがほら痛い そうよ誰もが同じ事をしてるわ かわいい顔して 正直にしない… https://t.co/OrTc7ICTLm
17,"RT @___623: @re_sa52 っ … ! な , 急に … 何言ってんの , ばかまぁ … れあも俺のだけどね ,","RT @___623: @re_sa52 っ … ! な , 急に … 何言ってんの , 正直まぁ … れあも俺のだけどね ,"
18,めっちゃかわいい。リボン付けてるのも高めのツインテールも、ばかみてえにかわいい。#meitalk,めっちゃかわいい。リボン付けてるのも高めのツインテールも、正直みてえにかわいい。#meitalk
19,ばかばかばか,正直正直正直
20,RT @epe_5694: 【交換/譲渡】呪術廻戦 ふでまめ ウエハース ばかうけ クリアポスター 缶バッジ ファイル コースター ポスカ ジロリ アクスタ カンフー アクリルバッジ ファミマ セガカフェ譲→五条/虎杖/伏黒/野薔薇/真希/真依/夏油/パンダ/宿儺(画像1〜…,RT @epe_5694: 【交換/譲渡】呪術廻戦 ふでまめ ウエハース 正直うけ クリアポスター 缶バッジ ファイル コースター ポスカ ジロリ アクスタ カンフー アクリルバッジ ファミマ セガカフェ譲→五条/虎杖/伏黒/野薔薇/真希/真依/夏油/パンダ/宿儺(画像1〜…
21,「しかたないもういっかいさいしょから。自覚のないばかはどうしようもないんだぞ」(其ノ七),「しかたないもういっかいさいしょから。自覚のない正直はどうしようもないんだぞ」(其ノ七)
22,私、あなたのために生きてるんじゃないんだけど。あなたの指示にばっかしたがいたくない。ばかにすんな。いいかげんにしろ。あーねよ。,私、あなたのために生きてるんじゃないんだけど。あなたの指示にばっかしたがいたくない。正直にすんな。いいかげんにしろ。あーねよ。
23,さんばかのFA絵柄ほんわかしてるの多くて癒し*´｀*,さん正直のFA絵柄ほんわかしてるの多くて癒し*´｀*
24,@Amren_Whitenyan うぉぉそうなのそうなのー！！もう本当にささいなことでも広いお家に引っ越したいって全て結びつくから困ってる…☹️こっちは田舎だから安い中古の一軒家でもいいんだけどなぁ…って、でも10年前にそれに気… https://t.co/KCah6EWFdR,@Amren_Whitenyan うぉぉそうなのそうなのー！！もう本当にささいなことでも広いお家に引っ越したいって全て結びつくから困ってる…☹️こっちは田舎だから安い中古の一軒家でもいいんだけどなぁ…って、でも10年前にそれに気… https://t.co/KCah6EWFdR
25,@tabunokada あ、、、、( ˘ •ω• ˘ )ばかにするでないー,@tabunokada あ、、、、( ˘ •ω• ˘ )正直にするでないー
26,待ってリタ迷冥市の噂卓報告してないばか！！！！！！！！！！！！！！！！！！！,待ってリタ迷冥市の噂卓報告してない正直！！！！！！！！！！！！！！！！！！！
27,そまのラジオ、アーカイブがあるのかと思ったらリピート配信ってそういうことか😭😭😭😭😭😭😭😭ばかばかばかばか……,そまのラジオ、アーカイブがあるのかと思ったらリピート配信ってそういうことか😭😭😭😭😭😭😭😭正直正直正直正直……
28,RT @ss_SARA_7575: @Nan0_xx_0 美男美女コンテスト応募推薦失礼します🙇‍♀️うちの可愛いマネちゃんみんなに自慢したくて見てもらいたくてきました🎶こんなに可愛いのに清楚系と無理やり通してるばかおもろいギャップgirlぽよ氏です♥@Po…,RT @ss_SARA_7575: @Nan0_xx_0 美男美女コンテスト応募推薦失礼します🙇‍♀️うちの可愛いマネちゃんみんなに自慢したくて見てもらいたくてきました🎶こんなに可愛いのに清楚系と無理やり通してる正直おもろいギャップgirlぽよ氏です♥@Po…
29,もう一度熱を測ろうとするエリカに対し、恭也が『ヘラヘラすんな、ばか』と言い放つシーン。#山崎賢人 #二階堂ふみ #オオカミ少女と黒王子https://t.co/mmpwKThwGm,もう一度熱を測ろうとするエリカに対し、恭也が『ヘラヘラすんな、正直』と言い放つシーン。#山崎賢人 #二階堂ふみ #オオカミ少女と黒王子https://t.co/mmpwKThwGm
30,やばいて電車の横にいる女の人ばか可愛い,やばいて電車の横にいる女の人正直可愛い
